Scenario,CPLEX,VNS,Gap
ACF4-SC0,930.1321658121888,930.4319999999999,0%
ACF4-SC1,1421.7481658121833,1422.048,0%
ACF4-SC2,1179.371235812141,1179.6710699999999,0%
ACF4-SC3,1272.8293815882935,1273.12932,0%
ACF4-SC4,868.680165812184,868.9799999999999,0%
ACF4-SC5,1175.9401658121787,1176.2399999999998,0%
ACF4-SC6,1053.0361658122129,1053.3359999999998,0%
ACF4-SC7,1790.4600634215894,1790.76,0%
ACF4-SC8,1837.7782058121666,1838.07804,0%
ACF4-SC9,807.2281658121792,807.5279999999999,0%
ACF5-SC0,1354.300012213891,1354.6000599999998,0%
ACF5-SC1,673.9240282701066,674.2239999999999,0%
ACF5-SC2,612.4724101710744,612.7719999999999,0%
ACF5-SC3,1175.540161512079,1175.84,0%
ACF5-SC4,1226.9923417439713,1227.292,0%
ACF5-SC5,923.1631656306708,923.4630699999999,0%
ACF5-SC6,1352.537745630747,1385.63332,2%
ACF5-SC7,673.9241580269154,674.2239999999999,0%
ACF5-SC8,551.0201476799266,551.3199999999999,0%
ACF5-SC9,1354.299871967538,1354.6000599999998,0%
ACF6-SC0,678.4229484539537,678.4239999999999,0%
ACF6-SC1,1010.6747209437017,1010.6744799999999,-0%
ACF6-SC2,678.4231121055491,678.4239999999999,0%
ACF6-SC3,924.2323388264049,924.232,-0%
ACF6-SC4,1808.6289789853035,1808.6286999999998,-0%
ACF6-SC5,678.424379849399,678.4239999999999,-0%
ACF6-SC6,1415.8483807733865,1415.848,-0%
ACF6-SC7,801.3283388263371,801.3279999999999,-0%
ACF6-SC8,1133.5787351242907,1133.57848,-0%
ACF6-SC9,1170.040059672785,1170.04,-0%
